"","feature","mean(|SHAP value|)","mean(|SHAP value|) standard error","Predator"
"73","Activity cycle [other]",0.106916439465152,0.0207962386509435,"Martes foina"
"74","Habitat",0.0381535853181723,0.00456924291086695,"Martes foina"
"75","Maint diet [vertebrate]",0.0238715452374207,0.00442788200220827,"Martes foina"
"76","Maint diet [herbivore]",0.0618862736727663,0.012611542149967,"Martes foina"
"77","Adult body mass (g)",0.156218124908409,0.0103125006927501,"Martes foina"
"78","Trophic level",0.263039668398831,0.0261354937785331,"Martes foina"
"79","Activity cycle [nocturnal only]",0.250444268087006,0.0259750823068344,"Martes foina"
"80","Brain mass (g)",0.181119871685497,0.0124317773581002,"Martes foina"
"81","Litter size",0.357286558599305,0.0245809430381529,"Martes foina"
"82","Maint diet [invertebrate]",0.0479930049825672,0.0101684148297957,"Martes foina"
"83","Foraging stratum [ground level]",0.0468063185439778,0.00579669377379457,"Martes foina"
"84","Foraging stratum [arboreal]",0,0,"Canis aureus"
"85","Foraging stratum [aerial]",0,0,"Canis aureus"
"86","Maint diet [vertebrate]",0.0204196446576598,0.00482323370084473,"Canis aureus"
"87","Maint diet [omnivore]",0,0,"Canis aureus"
"88","Maint diet [multiple animals]",0,0,"Canis aureus"
"89","Activity cycle [diurnal only]",0,0,"Canis aureus"
"90","Activity cycle [other]",0.138242023842024,0.0192797834876959,"Canis aureus"
"91","Activity cycle [nocturnal only]",0.264778404792649,0.0318555561597085,"Canis aureus"
"92","Litter size",0.337306342795241,0.0246208210467497,"Canis aureus"
"93","Maint diet [invertebrate]",0.000358845582140274,0.000471911737555649,"Canis aureus"
"94","Trophic level",0.365565813856306,0.031946740566895,"Canis aureus"
"95","Habitat",0.161428336495341,0.0172940971465699,"Canis aureus"
"96","Brain mass (g)",0.193613237731033,0.0207695904470114,"Canis aureus"
"97","Maint diet [herbivore]",0.214578285704359,0.0273185688072057,"Canis aureus"
"98","Adult body mass (g)",0.464553833169662,0.0339864797499419,"Canis aureus"
"99","Foraging stratum [ground level]",0.31201180427565,0.0238482579875953,"Canis aureus"
"100","Foraging stratum [arboreal]",0,0,"Canis lupus"
"101","Foraging stratum [aerial]",0.000351185661980633,0.000297978218311057,"Canis lupus"
"102","Maint diet [vertebrate]",0.0176492359582167,0.00398315628544946,"Canis lupus"
"103","Maint diet [omnivore]",0,0,"Canis lupus"
"104","Maint diet [multiple animals]",0,0,"Canis lupus"
"105","Maint diet [invertebrate]",0.00449274876739496,0.00238054596379245,"Canis lupus"
"106","Activity cycle [diurnal only]",0,0,"Canis lupus"
"107","Maint diet [herbivore]",0.0136146855227152,0.00360192040198101,"Canis lupus"
"108","Trophic level",0.234054789123244,0.0198553457037202,"Canis lupus"
"109","Activity cycle [nocturnal only]",0.0850960971618326,0.0108701394908206,"Canis lupus"
"110","Activity cycle [other]",0.0676471841741382,0.0104336594552581,"Canis lupus"
"111","Habitat",0.262892456740772,0.0176700974794314,"Canis lupus"
"112","Litter size",0.320372660361689,0.0245360455500726,"Canis lupus"
"113","Brain mass (g)",0.256649115057557,0.0207602253217283,"Canis lupus"
"114","Adult body mass (g)",0.604789552549097,0.0332891567954534,"Canis lupus"
"115","Foraging stratum [ground level]",0.0348901685341257,0.00274762017832632,"Canis lupus"
"116","Foraging stratum [scansorial]",0.0170612852617177,0.000958656931207092,"Canis lupus"
"117","Foraging stratum [arboreal]",0,0,"Genetta genetta"
"118","Foraging stratum [aerial]",0,0,"Genetta genetta"
"119","Maint diet [vertebrate]",0.0326263535513502,0.00774658173702498,"Genetta genetta"
"120","Maint diet [omnivore]",0,0,"Genetta genetta"
"121","Maint diet [multiple animals]",0,0,"Genetta genetta"
"122","Activity cycle [diurnal only]",0,0,"Genetta genetta"
"123","Activity cycle [other]",0.0635091140624946,0.014586625107385,"Genetta genetta"
"124","Activity cycle [nocturnal only]",0.178831082715369,0.0266338869931062,"Genetta genetta"
"125","Habitat",0.123998870557455,0.0176769677788258,"Genetta genetta"
"126","Maint diet [invertebrate]",0.0208374230226137,0.00723647637465506,"Genetta genetta"
"127","Maint diet [herbivore]",0.541706523516256,0.0392971405380614,"Genetta genetta"
"128","Trophic level",0.0530151963641604,0.0110652529328811,"Genetta genetta"
"129","Brain mass (g)",0.161737525118798,0.0197004357840278,"Genetta genetta"
"130","Adult body mass (g)",0.471446339815531,0.0392514555605778,"Genetta genetta"
"131","Litter size",0.89712907249848,0.0454121231612509,"Genetta genetta"
"132","Foraging stratum [ground level]",0.171174135045621,0.0218037375422844,"Genetta genetta"
"133","Foraging stratum [arboreal]",0,0,"Neovison vison"
"134","Foraging stratum [aerial]",0,0,"Neovison vison"
"135","Maint diet [vertebrate]",0.0146888807146574,0.00407235291170291,"Neovison vison"
"136","Maint diet [omnivore]",0,0,"Neovison vison"
"137","Maint diet [multiple animals]",0,0,"Neovison vison"
"138","Maint diet [invertebrate]",0.000820377724133988,0.000624853662589507,"Neovison vison"
"139","Activity cycle [diurnal only]",0,0,"Neovison vison"
"140","Activity cycle [nocturnal only]",0.0986941600495519,0.0199577922551136,"Neovison vison"
"141","Brain mass (g)",0.208652770403919,0.0180033609183837,"Neovison vison"
"142","Maint diet [herbivore]",0.222056411217836,0.026130475921525,"Neovison vison"
"143","Trophic level",0.0927866726647958,0.0138247458949223,"Neovison vison"
"144","Adult body mass (g)",0.177138653974441,0.0154166913129569,"Neovison vison"
"145","Habitat",0.18320801715353,0.0142546210154193,"Neovison vison"
"146","Activity cycle [other]",0.200667270234564,0.024819478344551,"Neovison vison"
"147","Litter size",0.750933334411021,0.0356818558795192,"Neovison vison"
"148","Foraging stratum [ground level]",0.4097301853948,0.0300953508613939,"Neovison vison"
