"","scientific_name","Correlation_exact","Correlation_rank","mean_mcc","sd_mcc","observation_number","Functional_richness","adult_mass_g","type"
"1","Canis aureus",0.433445914005972,0.384190192570726,0.221318442847594,0.208010509009944,168,37.1077511458393,11000,"test"
"2","Canis lupus",0.477756255779778,0.318094932043817,0.287054711400411,0.147887687401798,806,125.618851999761,29190.755,"test"
"3","Felis silvestris",0.561748605586217,0.401852934521789,0.438919612965521,0.1738240429859,172,204.328268529757,5036.54,"test"
"4","Genetta genetta",0.630516568523656,0.390364867559331,0.445726200254146,0.230943727058242,120,40.767722744007,1866.67,"test"
"5","Lynx lynx",0.600363010537321,0.379470468069255,0.487148774189639,0.147232853012187,315,131.113371396549,21150,"test"
"6","Martes foina",0.446545860211068,0.274968766839332,0.280208218740197,0.145102958534823,271,242.185919604578,1700,"test"
"7","Martes martes",0.391269492299838,0.16385329393425,0.246980689795068,0.171318373568306,207,115.079339703316,1299.995,"test"
"8","Neovison vison",0.518434943683695,0.314517838767304,0.446595366054493,0.192342174778998,103,45.166148197016,899.75,"test"
"9","Vulpes vulpes",0.461082037694221,0.309147322617086,0.297331677752227,0.139699057057676,800,436.151759414828,4580.3,"test"
"10","Canis aureus",-0.127353030867165,0.0387200832466181,-0.0502962052343964,0.116717407437846,168,37.1077511458393,11000,"null"
"11","Canis aureus",0.118215671194776,0.0177167221168713,0.0488497975831224,0.185082123401039,168,37.1077511458393,11000,"null"
"12","Canis aureus",0.23585118639427,0.000561271474078695,0.0518859078077036,0.197963231588709,168,37.1077511458393,11000,"null"
"13","Canis aureus",0.0596334246074521,0.0376659625977486,-0.0307741304348976,0.130994411125817,168,37.1077511458393,11000,"null"
"14","Canis aureus",-0.0567016323394595,0.092975006718624,-0.0680412792411786,0.122911856140285,168,37.1077511458393,11000,"null"
"15","Canis aureus",0.142416445262833,0.0279779136945553,0.123779590250569,0.21122474638643,168,37.1077511458393,11000,"null"
"16","Canis aureus",0.11359341385906,0.00504392903455121,-0.0275029169464345,0.148007076284308,168,37.1077511458393,11000,"null"
"17","Canis aureus",0.34219411244071,0.0662701695050814,0.196060009197195,0.232901785377248,168,37.1077511458393,11000,"null"
"18","Canis aureus",0.112334330497826,0.00233619631078327,-0.00974908902775235,0.137561530356723,168,37.1077511458393,11000,"null"
"19","Canis aureus",-0.0690785445514336,2.31579294724853e-05,-0.0550286448757967,0.152364637574608,168,37.1077511458393,11000,"null"
"20","Canis aureus",0.258041542913929,5.17075372474576e-06,0.138402855391592,0.237362872874254,168,37.1077511458393,11000,"null"
"21","Canis aureus",-0.164865282960106,0.00717698379783891,-0.066026132288883,0.117975011295774,168,37.1077511458393,11000,"null"
"22","Canis aureus",0.00831675754927336,6.71442925533603e-06,-0.0578210241197658,0.119488861996985,168,37.1077511458393,11000,"null"
"23","Canis aureus",0.0115949132999331,0.073739100937643,-0.0331616288943014,0.157503224850939,168,37.1077511458393,11000,"null"
"24","Canis aureus",-0.0877861002163841,0.000713180891646002,-0.0509448947792175,0.105647274021597,168,37.1077511458393,11000,"null"
"25","Canis aureus",0.202270625081866,0.0813350584093822,0.0399513869470223,0.185297054433809,168,37.1077511458393,11000,"null"
"26","Canis aureus",-0.166021902616871,0.1273406581483,-0.0642352689328241,0.120824681700699,168,37.1077511458393,11000,"null"
"27","Canis aureus",0.0261329308314323,0.00501392803619583,-0.0404591385260823,0.119759364206414,168,37.1077511458393,11000,"null"
"28","Canis aureus",-0.0885504545935403,0.00699005643644182,-0.0358662806099102,0.152011202095457,168,37.1077511458393,11000,"null"
"29","Canis aureus",-0.0973018053094636,0.00684054083455238,-0.0417248123667171,0.124996531854597,168,37.1077511458393,11000,"null"
"30","Canis aureus",-0.0593594496559812,0.00837936441397238,-0.0365479348117798,0.13336335108149,168,37.1077511458393,11000,"null"
"31","Canis aureus",-0.0240713982731635,0.00200624405566069,-0.0330731577356638,0.130759281237894,168,37.1077511458393,11000,"null"
"32","Canis aureus",-0.160475229335275,0.0433678973097818,-0.0806879655701817,0.09340293416475,168,37.1077511458393,11000,"null"
"33","Canis aureus",-0.123792288172362,0.0459377954691445,-0.0782058059192655,0.113217912424966,168,37.1077511458393,11000,"null"
"34","Canis aureus",0.147609230836534,0.17197709879048,-0.0266690511992324,0.139757507389026,168,37.1077511458393,11000,"null"
"35","Canis aureus",0.050564522236314,0.0167039563117453,-0.00964952495070489,0.169498365726062,168,37.1077511458393,11000,"null"
"36","Canis aureus",0.0659964565813336,0.0517797124680603,-0.0212526211468146,0.159622507381246,168,37.1077511458393,11000,"null"
"37","Canis aureus",-0.140846243245301,0.0349063321738056,-0.0662318015902956,0.109458000217712,168,37.1077511458393,11000,"null"
"38","Canis aureus",0.0729162392991842,0.00700775277477074,-0.00459226807527137,0.173767026710507,168,37.1077511458393,11000,"null"
"39","Canis aureus",-0.00236770348232372,0.00414188559406759,-0.0239044506167729,0.145620388072661,168,37.1077511458393,11000,"null"
"40","Canis aureus",0.232677646063961,0.100875940782146,0.0858922797120329,0.210627673793952,168,37.1077511458393,11000,"null"
"41","Canis aureus",0.265005788964299,0.000685215755222279,0.0351343711902168,0.184934192178956,168,37.1077511458393,11000,"null"
"42","Canis aureus",0.132276177700208,0.00800603823225661,0.00904877789962451,0.158996676247439,168,37.1077511458393,11000,"null"
"43","Canis aureus",0.0532556502054947,0.0013507860021069,-0.0539191969077134,0.136019810296624,168,37.1077511458393,11000,"null"
"44","Canis aureus",0.0880208289263115,3.63434912962703e-05,-0.0205507494536111,0.140226797028067,168,37.1077511458393,11000,"null"
